inst,variant,params,short_train0_days,short_train0_n,short_train0_Rday,short_train0_t,short_train0_maxDD,short_held0_days,short_held0_n,short_held0_Rday,short_held0_t,short_held0_maxDD,short_win_days,short_win_n,short_win_Rday,short_win_t,short_win_maxDD,final_days,final_n,final_Rday,final_t,final_maxDD,stress_days,stress_n,stress_Rday,stress_t,stress_maxDD,pre2024_Rday,since2024_Rday,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023,R_2024,R_2025,R_2026
NQ,time_stop_240,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 240, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3171,2.839,-15.24,91,74,-0.1256,-0.76,-17.04,443,391,0.2262,2.371,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,0.0086,0.264,-44.51,0.0086,0.1465,-4.2,-13.1,-17.1,16.8,11.4,28.5,3.5,-10.1,20.3,51.4,16.5
NQ,time_stop_999,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3158,2.816,-15.24,91,74,-0.1227,-0.738,-16.77,443,391,0.2257,2.356,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,-0.003,-0.091,-52.17,-0.003,0.1599,-4.0,-18.9,-14.5,15.1,6.4,25.0,3.8,-18.5,30.2,49.8,16.5
NQ,be_at_0.5,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0.5, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2025,2.236,-15.17,91,74,0.0313,0.215,-7.2,443,391,0.1673,2.146,-17.13,53,52,0.0973,0.563,-7.53,1820,1555,0.0027,0.115,-30.65,0.0027,0.0789,-4.1,-10.9,-4.3,20.8,-3.7,1.7,11.2,-5.7,-11.8,37.6,28.3
NQ,be_at_1.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 1.0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2416,2.434,-20.88,91,74,-0.0096,-0.06,-9.13,443,391,0.19,2.22,-22.77,53,52,-0.0294,-0.151,-12.49,1820,1555,0.0022,0.079,-31.94,0.0022,0.1108,-4.5,-6.6,-0.4,13.1,0.7,-4.2,5.4,0.4,3.0,48.6,15.4
NQ,be_at_1.5,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 1.5, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3207,3.053,-15.53,91,74,-0.0484,-0.3,-12.09,443,391,0.2449,2.718,-19.71,53,52,0.0245,0.108,-12.5,1820,1555,-0.0025,-0.085,-33.26,-0.0025,0.1643,-3.5,-8.6,-7.7,10.1,0.0,12.3,2.9,-10.1,23.1,57.5,22.4
NQ,be_at_2.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 2.0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3325,3.09,-17.53,91,74,-0.0594,-0.367,-13.09,443,391,0.252,2.738,-21.71,53,52,0.0057,0.025,-12.5,1820,1555,0.0013,0.042,-35.3,0.0013,0.1735,-3.5,-9.6,-8.0,8.8,5.7,19.4,-0.1,-10.4,28.7,59.3,19.7
NQ,partial_1.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 1.0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2127,2.543,-13.53,91,74,-0.1689,-1.366,-19.7,443,391,0.1343,1.878,-18.45,53,52,-0.0402,-0.243,-11.49,1820,1555,-0.009,-0.377,-33.83,-0.009,0.0796,-4.9,-10.6,-4.2,4.5,-3.0,-0.0,-0.2,2.1,5.0,30.7,11.4
NQ,partial_1.5,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 1.5, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2433,2.703,-13.99,91,74,-0.1581,-1.189,-19.46,443,391,0.1608,2.09,-18.45,53,52,-0.0826,-0.445,-13.49,1820,1555,-0.0092,-0.348,-34.86,-0.0092,0.0975,-3.6,-8.9,-8.0,8.6,2.7,1.7,-3.8,-5.5,8.2,38.6,9.1
NQ,partial_2.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 2.0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.277,2.88,-15.03,91,74,-0.1169,-0.824,-16.46,443,391,0.1961,2.387,-18.71,53,52,-0.0213,-0.106,-12.49,1820,1555,0.0004,0.016,-34.94,0.0004,0.1331,-3.5,-9.6,-7.3,6.6,5.9,7.2,3.2,-1.7,19.1,48.3,13.9
NQ,partial_3.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 3.0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3258,2.987,-15.53,91,74,-0.1348,-0.84,-17.59,443,391,0.2312,2.482,-20.71,53,52,-0.0267,-0.112,-13.46,1820,1555,0.0037,0.121,-35.98,0.0037,0.1608,-3.5,-9.6,-9.6,8.4,8.4,15.9,4.0,-7.3,25.2,55.1,17.8
NQ,trail_1.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 1.0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.114,1.557,-19.31,91,74,-0.1013,-0.868,-18.83,443,391,0.0698,1.106,-26.48,53,52,0.0386,0.298,-7.19,1820,1555,-0.0231,-1.111,-49.61,-0.0231,0.0113,-5.6,-11.7,-10.1,17.8,-14.0,-0.6,-7.7,-10.1,-12.1,7.3,13.8
NQ,trail_1.5,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 1.5, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2267,2.462,-24.89,91,74,-0.041,-0.273,-11.7,443,391,0.1717,2.158,-28.8,53,52,-0.1104,-0.728,-11.59,1820,1555,-0.0163,-0.626,-47.85,-0.0163,0.086,-4.6,-9.3,-6.4,4.6,-8.3,-8.0,-0.9,3.3,-1.9,34.5,14.9
NQ,trail_2.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 2.0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3027,2.957,-19.21,91,74,-0.0917,-0.584,-15.24,443,391,0.2217,2.525,-21.08,53,52,-0.052,-0.253,-13.93,1820,1555,-0.0002,-0.008,-32.23,-0.0002,0.1443,-3.5,-9.0,-7.5,9.8,-2.1,5.2,4.9,1.8,23.2,42.3,21.0
NQ,trail_3.0,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 3.0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3254,2.984,-18.22,91,74,-0.1078,-0.654,-15.7,443,391,0.2364,2.532,-23.31,53,52,-0.0424,-0.185,-12.52,1820,1555,-0.0047,-0.155,-39.48,-0.0047,0.1651,-3.5,-9.6,-9.4,8.8,3.3,19.6,-7.4,-10.4,29.0,51.6,19.3
NQ,runner_noTP_120,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3228,2.292,-18.5,91,74,-0.2206,-1.298,-23.75,443,391,0.2112,1.795,-21.67,53,52,-0.0003,-0.001,-19.01,1820,1555,-0.0008,-0.022,-42.43,-0.0008,0.1591,-1.8,-11.3,-7.5,11.1,-1.0,17.0,2.9,-10.7,36.6,45.8,16.0
NQ,runner_noTP_trail1.5_close,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 1.5, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2428,2.432,-23.57,91,74,-0.0987,-0.653,-17.41,443,391,0.1727,2.021,-28.58,53,52,-0.1492,-1.087,-11.51,1820,1555,-0.0001,-0.002,-50.02,-0.0001,0.1022,-2.0,-16.7,-10.3,3.2,-3.4,11.2,3.5,14.4,7.2,29.6,18.5
NQ,runner_noTP_be1_trail2_close,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 1.0, ""partial"": 0, ""trail"": 2.0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2978,2.704,-19.9,91,74,-0.0963,-0.555,-15.7,443,391,0.2169,2.288,-21.82,53,52,-0.1536,-0.851,-14.73,1820,1555,0.0237,0.722,-49.06,0.0237,0.1466,-0.6,-15.3,3.2,18.9,1.9,16.7,10.7,7.6,19.3,46.2,17.1
NQ,pullback_0.3_5,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""pb"", ""pb_frac"": 0.3, ""pb_wait"": 5, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,242,0.1041,1.255,-18.38,91,60,-0.1669,-1.235,-18.72,443,302,0.0485,0.676,-17.48,53,39,-0.1959,-1.041,-18.49,1820,1193,-0.0382,-1.447,-98.76,-0.0382,0.052,-4.9,-15.0,-21.8,-5.4,-0.4,-9.3,-33.7,21.0,14.2,31.0,-23.5
